title,description,published,detail_url,relevant_to_veraval
Heavy to very heavy with extremely heavy rainfall,Heavy to Very heavy rainfall at few places and extremely Heavy Rainfall at isolated places very likely over East Madhya Pradesh.,"Wed, 02 Sep 2026 08:41:21 +0000",https://cap-sources.s3.amazonaws.com/in-imd-en/2026-09-02-08-41-21.xml,False
Heavy to very heavy with extremely heavy rainfall,Heavy to Very heavy rainfall at few places and extremely Heavy Rainfall at isolated places very likely over Jharkhand.,"Tue, 01 Sep 2026 07:07:06 +0000",https://cap-sources.s3.amazonaws.com/in-imd-en/2026-09-01-07-07-06.xml,False
Heavy to very heavy with extremely heavy rainfall,Heavy to Very heavy rainfall at few places and extremely Heavy Rainfall at isolated places very likely over Jharkhand.,"Tue, 01 Sep 2026 07:00:31 +0000",https://cap-sources.s3.amazonaws.com/in-imd-en/2026-09-01-07-00-31.xml,False
Heavy to very heavy with extremely heavy rainfall,Heavy to Very heavy rainfall at few places and extremely Heavy Rainfall at isolated places very likely over Odisha and Chattisgarh.,"Mon, 31 Aug 2026 07:53:57 +0000",https://cap-sources.s3.amazonaws.com/in-imd-en/2026-08-31-07-53-57.xml,False
Heavy to very heavy with extremely heavy rainfall,Heavy to Very heavy rainfall at few places and extremely Heavy Rainfall at isolated places very likely over Odisha.,"Sun, 30 Aug 2026 09:34:22 +0000",https://cap-sources.s3.amazonaws.com/in-imd-en/2026-08-30-09-34-22.xml,False
Heavy to very heavy with extremely heavy rainfall,Heavy to Very heavy rainfall at few places and extremely Heavy Rainfall at isolated places very likely over Odisha.,"Sat, 29 Aug 2026 08:52:26 +0000",https://cap-sources.s3.amazonaws.com/in-imd-en/2026-08-29-08-52-26.xml,False
Heavy to very heavy with extremely heavy rainfall,Heavy to Very heavy rainfall at few places and extremely Heavy Rainfall at isolated places very likely over West Uttar Pradesh and West Madhya Pradesh.,"Wed, 26 Aug 2026 06:01:05 +0000",https://cap-sources.s3.amazonaws.com/in-imd-en/2026-08-26-06-01-05.xml,False
Heavy to very heavy with extremely heavy rainfall,Heavy to Very heavy rainfall at few places and extremely Heavy Rainfall at isolated places very likely over Odisha.,"Sun, 23 Aug 2026 07:37:38 +0000",https://cap-sources.s3.amazonaws.com/in-imd-en/2026-08-23-07-37-38.xml,False
