node_id,latitude,longitude,district,zone_type,observation_time,wave_height_m,wave_direction_deg,wave_period_s,swell_wave_height_m,swell_wave_direction_deg,swell_wave_period_s,ocean_current_velocity_kmh,ocean_current_direction_deg,sst_celsius,wind_speed_kmph,wind_direction_deg,precipitation_mm,safe_to_venture,hazard_type
GJ-VER-0001,20.87516585,70.07678103,Gir Somnath,22.2 km seaward operational buffer,2026-09-07T15:30,1.46,241,7.3,1.16,244,6.15,1.0,149,27.6,24.6,281,0.0,True,No hazard
GJ-VER-0002,20.92017704,70.07530903,Gir Somnath,22.2 km seaward operational buffer,2026-09-07T15:30,1.4,241,7.3,1.12,244,6.2,1.2,153,27.4,25.3,279,0.0,True,No hazard
GJ-VER-0003,20.9651879,70.07383312,Gir Somnath,22.2 km seaward operational buffer,2026-09-07T15:30,1.4,241,7.3,1.12,244,6.2,1.2,153,27.4,20.3,278,0.0,True,No hazard
GJ-VER-0004,21.01019843,70.0723533,Gir Somnath,22.2 km seaward operational buffer,2026-09-07T15:30,1.2,242,7.25,0.96,242,6.35,1.0,149,27.2,20.3,278,0.0,True,No hazard
GJ-VER-0005,21.05520861,70.07086956,Gir Somnath,22.2 km seaward operational buffer,2026-09-07T15:30,1.2,242,7.25,0.96,242,6.35,1.0,149,27.2,20.3,278,0.0,True,No hazard
GJ-VER-0006,21.10021846,70.06938189,Gir Somnath,22.2 km seaward operational buffer,2026-09-07T15:30,1.06,244,7.05,0.84,242,6.35,0.9,143,27.0,20.0,272,0.0,True,No hazard
GJ-VER-0007,20.83152605,70.12612866,Gir Somnath,22.2 km seaward operational buffer,2026-09-07T15:30,1.54,240,7.4,1.26,243,6.2,1.0,158,27.3,24.7,283,0.0,True,No hazard
GJ-VER-0008,20.87654082,70.12467471,Gir Somnath,22.2 km seaward operational buffer,2026-09-07T15:30,1.46,240,7.35,1.16,243,6.15,1.2,153,27.2,24.7,283,0.0,True,No hazard
GJ-VER-0009,20.92155525,70.12321689,Gir Somnath,22.2 km seaward operational buffer,2026-09-07T15:30,1.4,239,7.35,1.1,241,6.2,1.2,153,26.8,24.4,279,0.0,True,No hazard
GJ-VER-0010,20.96656935,70.1217552,Gir Somnath,22.2 km seaward operational buffer,2026-09-07T15:30,1.4,239,7.35,1.1,241,6.2,1.2,153,26.8,20.3,278,0.0,True,No hazard
