node_id,latitude,longitude,district,zone_type,observation_time,wave_height_m,wave_direction_deg,wave_period_s,swell_wave_height_m,swell_wave_direction_deg,swell_wave_period_s,ocean_current_velocity_kmh,ocean_current_direction_deg,sst_celsius,wind_speed_kmph,wind_direction_deg,precipitation_mm,safe_to_venture,hazard_type
GJ-VER-0001,20.87516585,70.07678103,Gir Somnath,22.2 km seaward operational buffer,2026-09-12T03:00,1.12,229,10.35,0.82,222,8.4,1.0,158,27.9,14.5,292,0.0,True,No hazard
GJ-VER-0002,20.92017704,70.07530903,Gir Somnath,22.2 km seaward operational buffer,2026-09-12T03:00,1.04,231,10.05,0.84,254,5.45,1.0,158,27.6,14.3,289,0.0,True,No hazard
GJ-VER-0003,20.9651879,70.07383312,Gir Somnath,22.2 km seaward operational buffer,2026-09-12T03:00,1.04,231,10.05,0.84,254,5.45,1.0,158,27.6,7.7,303,0.0,True,No hazard
GJ-VER-0004,21.01019843,70.0723533,Gir Somnath,22.2 km seaward operational buffer,2026-09-12T03:00,0.88,232,9.8,0.72,252,5.45,1.0,149,27.4,7.7,303,0.0,True,No hazard
GJ-VER-0005,21.05520861,70.07086956,Gir Somnath,22.2 km seaward operational buffer,2026-09-12T03:00,0.88,232,9.8,0.72,252,5.45,1.0,149,27.4,7.7,303,0.0,True,No hazard
GJ-VER-0006,21.10021846,70.06938189,Gir Somnath,22.2 km seaward operational buffer,2026-09-12T03:00,0.76,236,9.25,0.64,251,5.4,1.0,158,27.2,6.2,303,0.0,True,No hazard
GJ-VER-0007,20.83152605,70.12612866,Gir Somnath,22.2 km seaward operational buffer,2026-09-12T03:00,1.18,229,10.55,0.7,190,13.6,1.0,158,27.9,15.3,295,0.0,True,No hazard
GJ-VER-0008,20.87654082,70.12467471,Gir Somnath,22.2 km seaward operational buffer,2026-09-12T03:00,1.12,229,10.55,0.76,190,10.85,1.2,153,27.6,15.3,295,0.0,True,No hazard
GJ-VER-0009,20.92155525,70.12321689,Gir Somnath,22.2 km seaward operational buffer,2026-09-12T03:00,1.06,229,10.5,0.82,250,5.65,1.2,153,27.3,14.1,293,0.0,True,No hazard
GJ-VER-0010,20.96656935,70.1217552,Gir Somnath,22.2 km seaward operational buffer,2026-09-12T03:00,1.06,229,10.5,0.82,250,5.65,1.2,153,27.3,7.7,303,0.0,True,No hazard
