node_id,latitude,longitude,district,zone_type,observation_time,wave_height_m,wave_direction_deg,wave_period_s,swell_wave_height_m,swell_wave_direction_deg,swell_wave_period_s,ocean_current_velocity_kmh,ocean_current_direction_deg,sst_celsius,wind_speed_kmph,wind_direction_deg,precipitation_mm,safe_to_venture,hazard_type
GJ-VER-0001,20.87516585,70.07678103,Gir Somnath,22.2 km seaward operational buffer,2026-09-10T05:30,1.4,249,7.2,1.24,257,5.6,0.9,127,27.5,19.5,258,0.0,True,No hazard
GJ-VER-0002,20.92017704,70.07530903,Gir Somnath,22.2 km seaward operational buffer,2026-09-10T05:30,1.34,249,7.25,1.2,256,5.6,1.0,121,27.2,18.4,260,0.0,True,No hazard
GJ-VER-0003,20.9651879,70.07383312,Gir Somnath,22.2 km seaward operational buffer,2026-09-10T05:30,1.34,249,7.25,1.2,256,5.6,1.0,121,27.2,11.2,272,0.1,True,No hazard
GJ-VER-0004,21.01019843,70.0723533,Gir Somnath,22.2 km seaward operational buffer,2026-09-10T05:30,1.12,248,7.25,1.02,254,5.6,0.9,127,26.9,11.2,272,0.1,True,No hazard
GJ-VER-0005,21.05520861,70.07086956,Gir Somnath,22.2 km seaward operational buffer,2026-09-10T05:30,1.12,248,7.25,1.02,254,5.6,0.9,127,26.9,11.2,272,0.1,True,No hazard
GJ-VER-0006,21.10021846,70.06938189,Gir Somnath,22.2 km seaward operational buffer,2026-09-10T05:30,0.98,248,7.05,0.9,253,5.55,0.6,124,26.6,10.3,268,0.0,True,No hazard
GJ-VER-0007,20.83152605,70.12612866,Gir Somnath,22.2 km seaward operational buffer,2026-09-10T05:30,1.46,248,7.3,1.3,256,5.7,1.0,135,27.6,20.1,260,0.0,True,No hazard
GJ-VER-0008,20.87654082,70.12467471,Gir Somnath,22.2 km seaward operational buffer,2026-09-10T05:30,1.38,248,7.3,1.24,256,5.6,1.2,129,27.2,20.1,260,0.0,True,No hazard
GJ-VER-0009,20.92155525,70.12321689,Gir Somnath,22.2 km seaward operational buffer,2026-09-10T05:30,1.3,246,7.35,1.18,254,5.55,1.0,135,26.8,17.5,262,0.0,True,No hazard
GJ-VER-0010,20.96656935,70.1217552,Gir Somnath,22.2 km seaward operational buffer,2026-09-10T05:30,1.3,246,7.35,1.18,254,5.55,1.0,135,26.8,11.2,272,0.1,True,No hazard
GJ-VER-0011,21.01158311,70.12028964,Gir Somnath,22.2 km seaward operational buffer,2026-09-10T05:30,1.06,241,7.4,0.96,251,5.45,0.8,135,26.5,11.2,272,0.1,True,No hazard
GJ-VER-0012,21.05659653,70.11882019,Gir Somnath,22.2 km seaward operational buffer,2026-09-10T05:30,1.06,241,7.4,0.96,251,5.45,0.8,135,26.5,11.2,272,0.1,True,No hazard
GJ-VER-0013,20.7878662,70.17544804,Gir Somnath,22.2 km seaward operational buffer,2026-09-10T05:30,1.42,247,7.3,1.28,254,5.7,1.2,129,27.2,21.8,262,0.0,True,No hazard
GJ-VER-0014,20.8328845,70.17401206,Gir Somnath,22.2 km seaward operational buffer,2026-09-10T05:30,1.42,247,7.3,1.28,254,5.7,1.2,129,27.2,20.1,260,0.0,True,No hazard
GJ-VER-0015,20.87790246,70.17257226,Gir Somnath,22.2 km seaward operational buffer,2026-09-10T05:30,1.36,247,7.3,1.24,254,5.65,1.0,135,26.8,20.1,260,0.0,True,No hazard
GJ-VER-0016,20.9229201,70.17112863,Gir Somnath,22.2 km seaward operational buffer,2026-09-10T05:30,1.3,245,7.4,1.18,252,5.55,0.8,135,26.5,7.7,270,0.0,True,No hazard
GJ-VER-0017,20.9679374,70.16968116,Gir Somnath,22.2 km seaward operational buffer,2026-09-10T05:30,1.3,245,7.4,1.18,252,5.55,0.8,135,26.5,11.2,272,0.1,True,No hazard
GJ-VER-0018,21.01295437,70.16822986,Gir Somnath,22.2 km seaward operational buffer,2026-09-10T05:30,1.06,241,7.4,0.96,251,5.45,0.6,162,26.5,11.2,272,0.1,True,No hazard
GJ-VER-0019,20.78920817,70.22332115,Gir Somnath,22.2 km seaward operational buffer,2026-09-10T05:30,1.42,247,7.3,1.28,254,5.7,1.2,129,27.2,23.8,266,0.0,True,No hazard
GJ-VER-0020,20.83422964,70.22189929,Gir Somnath,22.2 km seaward operational buffer,2026-09-10T05:30,1.36,247,7.3,1.24,254,5.65,1.0,135,26.8,21.4,264,0.0,True,No hazard
GJ-VER-0021,20.87925078,70.22047364,Gir Somnath,22.2 km seaward operational buffer,2026-09-10T05:30,1.36,247,7.3,1.24,254,5.65,1.0,135,26.8,7.7,270,0.0,True,No hazard
GJ-VER-0022,20.92427159,70.2190442,Gir Somnath,22.2 km seaward operational buffer,2026-09-10T05:30,1.3,245,7.4,1.18,252,5.55,0.8,135,26.5,7.7,270,0.0,True,No hazard
GJ-VER-0023,20.96929207,70.21761096,Gir Somnath,22.2 km seaward operational buffer,2026-09-10T05:30,1.3,245,7.4,1.18,252,5.55,0.8,135,26.5,7.7,270,0.0,True,No hazard
GJ-VER-0024,20.74551194,70.27260204,Gir Somnath,22.2 km seaward operational buffer,2026-09-10T05:30,1.46,250,7.25,1.3,257,5.75,1.0,135,27.2,23.8,266,0.0,True,No hazard
GJ-VER-0025,20.79053688,70.27119804,Gir Somnath,22.2 km seaward operational buffer,2026-09-10T05:30,1.38,247,7.25,1.24,254,5.7,1.0,135,26.8,23.8,266,0.0,True,No hazard
GJ-VER-0026,20.83556148,70.2697903,Gir Somnath,22.2 km seaward operational buffer,2026-09-10T05:30,1.34,247,7.3,1.2,254,5.6,0.9,143,26.5,8.8,281,0.0,True,No hazard
GJ-VER-0027,20.88058576,70.26837881,Gir Somnath,22.2 km seaward operational buffer,2026-09-10T05:30,1.34,247,7.3,1.2,254,5.6,0.9,143,26.5,7.7,270,0.0,True,No hazard
GJ-VER-0028,20.92560971,70.26696356,Gir Somnath,22.2 km seaward operational buffer,2026-09-10T05:30,1.34,247,7.3,1.2,254,5.6,0.6,162,26.2,7.7,270,0.0,True,No hazard
GJ-VER-0029,20.7017959,70.32185479,Gir Somnath,22.2 km seaward operational buffer,2026-09-10T05:30,1.46,250,7.25,1.3,257,5.75,1.0,135,27.2,22.1,269,0.0,True,No hazard
GJ-VER-0030,20.74682427,70.32046858,Gir Somnath,22.2 km seaward operational buffer,2026-09-10T05:30,1.46,250,7.25,1.3,257,5.75,1.0,135,27.2,23.0,269,0.0,True,No hazard
GJ-VER-0031,20.7918523,70.31907867,Gir Somnath,22.2 km seaward operational buffer,2026-09-10T05:30,1.38,247,7.25,1.24,254,5.7,1.0,135,26.8,23.0,269,0.0,True,No hazard
GJ-VER-0032,20.83688002,70.31768506,Gir Somnath,22.2 km seaward operational buffer,2026-09-10T05:30,1.34,247,7.3,1.2,254,5.6,0.9,143,26.5,8.8,281,0.0,True,No hazard
GJ-VER-0033,20.8819074,70.31628773,Gir Somnath,22.2 km seaward operational buffer,2026-09-10T05:30,1.34,247,7.3,1.2,254,5.6,0.9,143,26.5,8.8,281,0.0,True,No hazard
GJ-VER-0034,20.92693447,70.31488669,Gir Somnath,22.2 km seaward operational buffer,2026-09-10T05:30,1.34,247,7.3,1.2,254,5.6,0.6,162,26.2,7.7,270,0.0,True,No hazard
GJ-VER-0035,20.70309191,70.36971098,Gir Somnath,22.2 km seaward operational buffer,2026-09-10T05:30,1.4,249,7.25,1.26,256,5.7,1.0,135,26.9,22.1,269,0.0,True,No hazard
GJ-VER-0036,20.74812334,70.36833883,Gir Somnath,22.2 km seaward operational buffer,2026-09-10T05:30,1.4,249,7.25,1.26,256,5.7,1.0,135,26.9,23.0,269,0.0,True,No hazard
GJ-VER-0037,20.79315445,70.36696301,Gir Somnath,22.2 km seaward operational buffer,2026-09-10T05:30,1.34,246,7.25,1.2,253,5.65,1.0,135,26.5,23.0,269,0.0,True,No hazard
GJ-VER-0038,20.83818524,70.36558353,Gir Somnath,22.2 km seaward operational buffer,2026-09-10T05:30,1.26,246,7.3,1.16,253,5.6,0.6,146,26.0,8.8,281,0.0,True,No hazard
GJ-VER-0039,20.88321571,70.36420037,Gir Somnath,22.2 km seaward operational buffer,2026-09-10T05:30,1.26,246,7.3,1.16,253,5.6,0.6,146,26.0,8.8,281,0.0,True,No hazard
GJ-VER-0040,20.65933989,70.4189253,Gir Somnath,22.2 km seaward operational buffer,2026-09-10T05:30,1.38,252,7.25,1.24,258,5.7,0.8,135,27.0,20.5,268,0.0,True,No hazard
GJ-VER-0041,20.70437469,70.41757083,Gir Somnath,22.2 km seaward operational buffer,2026-09-10T05:30,1.32,249,7.25,1.18,255,5.65,0.9,127,26.5,20.0,269,0.0,True,No hazard
GJ-VER-0042,20.74940916,70.41621274,Gir Somnath,22.2 km seaward operational buffer,2026-09-10T05:30,1.4,249,7.25,1.26,256,5.7,1.0,135,26.9,10.2,284,0.0,True,No hazard
