node_id,latitude,longitude,district,zone_type,observation_time,wave_height_m,wave_direction_deg,wave_period_s,swell_wave_height_m,swell_wave_direction_deg,swell_wave_period_s,ocean_current_velocity_kmh,ocean_current_direction_deg,sst_celsius,wind_speed_kmph,wind_direction_deg,precipitation_mm,safe_to_venture,hazard_type
GJ-VER-0001,20.87516585,70.07678103,Gir Somnath,22.2 km seaward operational buffer,2026-09-12T19:30,1.14,223,11.1,0.8,193,13.55,0.6,124,28.2,19.8,284,0.0,True,No hazard
GJ-VER-0002,20.92017704,70.07530903,Gir Somnath,22.2 km seaward operational buffer,2026-09-12T19:30,1.08,225,10.65,0.72,209,11.6,0.9,127,27.9,19.6,287,0.0,True,No hazard
GJ-VER-0003,20.9651879,70.07383312,Gir Somnath,22.2 km seaward operational buffer,2026-09-12T19:30,1.08,225,10.65,0.72,209,11.6,0.9,127,27.9,13.6,296,0.0,True,No hazard
GJ-VER-0004,21.01019843,70.0723533,Gir Somnath,22.2 km seaward operational buffer,2026-09-12T19:30,0.92,229,10.05,0.62,220,10.15,0.9,127,27.7,13.6,296,0.0,True,No hazard
GJ-VER-0005,21.05520861,70.07086956,Gir Somnath,22.2 km seaward operational buffer,2026-09-12T19:30,0.92,229,10.05,0.62,220,10.15,0.9,127,27.7,13.6,296,0.0,True,No hazard
GJ-VER-0006,21.10021846,70.06938189,Gir Somnath,22.2 km seaward operational buffer,2026-09-12T19:30,0.8,234,9.25,0.52,248,6.55,0.9,127,27.6,11.9,293,0.0,True,No hazard
GJ-VER-0007,20.83152605,70.12612866,Gir Somnath,22.2 km seaward operational buffer,2026-09-12T19:30,1.22,223,11.35,0.84,194,13.5,0.6,124,28.2,20.6,289,0.0,True,No hazard
GJ-VER-0008,20.87654082,70.12467471,Gir Somnath,22.2 km seaward operational buffer,2026-09-12T19:30,1.16,223,11.25,0.8,194,14.35,0.8,135,27.8,20.6,289,0.0,True,No hazard
GJ-VER-0009,20.92155525,70.12321689,Gir Somnath,22.2 km seaward operational buffer,2026-09-12T19:30,1.1,224,11.05,0.74,193,13.85,0.9,127,27.5,19.7,291,0.0,True,No hazard
GJ-VER-0010,20.96656935,70.1217552,Gir Somnath,22.2 km seaward operational buffer,2026-09-12T19:30,1.1,224,11.05,0.74,193,13.85,0.9,127,27.5,13.6,296,0.0,True,No hazard
GJ-VER-0011,21.01158311,70.12028964,Gir Somnath,22.2 km seaward operational buffer,2026-09-12T19:30,0.94,221,10.95,0.66,198,12.8,0.9,127,27.4,13.6,296,0.0,True,No hazard
GJ-VER-0012,21.05659653,70.11882019,Gir Somnath,22.2 km seaward operational buffer,2026-09-12T19:30,0.94,221,10.95,0.66,198,12.8,0.9,127,27.4,13.6,296,0.0,True,No hazard
GJ-VER-0013,20.7878662,70.17544804,Gir Somnath,22.2 km seaward operational buffer,2026-09-12T19:30,1.2,225,11.2,0.84,201,12.8,0.8,135,27.9,21.3,288,0.0,True,No hazard
GJ-VER-0014,20.8328845,70.17401206,Gir Somnath,22.2 km seaward operational buffer,2026-09-12T19:30,1.2,225,11.2,0.84,201,12.8,0.8,135,27.9,20.6,289,0.0,True,No hazard
GJ-VER-0015,20.87790246,70.17257226,Gir Somnath,22.2 km seaward operational buffer,2026-09-12T19:30,1.16,225,11.15,0.8,201,14.0,0.9,127,27.7,20.6,289,0.0,True,No hazard
GJ-VER-0016,20.9229201,70.17112863,Gir Somnath,22.2 km seaward operational buffer,2026-09-12T19:30,1.12,224,11.1,0.76,194,14.35,0.9,127,27.7,12.0,294,0.0,True,No hazard
GJ-VER-0017,20.9679374,70.16968116,Gir Somnath,22.2 km seaward operational buffer,2026-09-12T19:30,1.12,224,11.1,0.76,194,14.35,0.9,127,27.7,13.6,296,0.0,True,No hazard
GJ-VER-0018,21.01295437,70.16822986,Gir Somnath,22.2 km seaward operational buffer,2026-09-12T19:30,0.94,221,10.95,0.66,198,12.8,0.6,146,27.7,13.6,296,0.0,True,No hazard
GJ-VER-0019,20.78920817,70.22332115,Gir Somnath,22.2 km seaward operational buffer,2026-09-12T19:30,1.2,225,11.2,0.84,201,12.8,0.8,135,27.9,22.1,293,0.0,True,No hazard
GJ-VER-0020,20.83422964,70.22189929,Gir Somnath,22.2 km seaward operational buffer,2026-09-12T19:30,1.16,225,11.15,0.8,201,14.0,0.9,127,27.7,20.5,295,0.0,True,No hazard
GJ-VER-0021,20.87925078,70.22047364,Gir Somnath,22.2 km seaward operational buffer,2026-09-12T19:30,1.16,225,11.15,0.8,201,14.0,0.9,127,27.7,12.0,294,0.0,True,No hazard
GJ-VER-0022,20.92427159,70.2190442,Gir Somnath,22.2 km seaward operational buffer,2026-09-12T19:30,1.12,224,11.1,0.76,194,14.35,0.9,127,27.7,12.0,294,0.0,True,No hazard
GJ-VER-0023,20.96929207,70.21761096,Gir Somnath,22.2 km seaward operational buffer,2026-09-12T19:30,1.12,224,11.1,0.76,194,14.35,0.9,127,27.7,12.0,294,0.0,True,No hazard
GJ-VER-0024,20.74551194,70.27260204,Gir Somnath,22.2 km seaward operational buffer,2026-09-12T19:30,1.2,227,11.0,0.82,214,11.65,0.8,135,28.0,22.1,293,0.0,True,No hazard
GJ-VER-0025,20.79053688,70.27119804,Gir Somnath,22.2 km seaward operational buffer,2026-09-12T19:30,1.18,225,11.0,0.8,201,12.1,0.9,127,27.8,22.1,293,0.0,True,No hazard
GJ-VER-0026,20.83556148,70.2697903,Gir Somnath,22.2 km seaward operational buffer,2026-09-12T19:30,1.14,225,11.05,0.78,201,12.75,0.8,135,27.6,12.1,295,0.0,True,No hazard
GJ-VER-0027,20.88058576,70.26837881,Gir Somnath,22.2 km seaward operational buffer,2026-09-12T19:30,1.14,225,11.05,0.78,201,12.75,0.8,135,27.6,12.0,294,0.0,True,No hazard
GJ-VER-0028,20.92560971,70.26696356,Gir Somnath,22.2 km seaward operational buffer,2026-09-12T19:30,1.14,225,11.05,0.78,201,12.75,0.6,146,27.4,12.0,294,0.0,True,No hazard
GJ-VER-0029,20.7017959,70.32185479,Gir Somnath,22.2 km seaward operational buffer,2026-09-12T19:30,1.2,227,11.0,0.82,214,11.65,0.8,135,28.0,23.3,294,0.0,True,No hazard
GJ-VER-0030,20.74682427,70.32046858,Gir Somnath,22.2 km seaward operational buffer,2026-09-12T19:30,1.2,227,11.0,0.82,214,11.65,0.8,135,28.0,22.3,298,0.0,True,No hazard
GJ-VER-0031,20.7918523,70.31907867,Gir Somnath,22.2 km seaward operational buffer,2026-09-12T19:30,1.18,225,11.0,0.8,201,12.1,0.9,127,27.8,22.3,298,0.0,True,No hazard
GJ-VER-0032,20.83688002,70.31768506,Gir Somnath,22.2 km seaward operational buffer,2026-09-12T19:30,1.14,225,11.05,0.78,201,12.75,0.8,135,27.6,12.1,295,0.0,True,No hazard
GJ-VER-0033,20.8819074,70.31628773,Gir Somnath,22.2 km seaward operational buffer,2026-09-12T19:30,1.14,225,11.05,0.78,201,12.75,0.8,135,27.6,12.1,295,0.0,True,No hazard
GJ-VER-0034,20.92693447,70.31488669,Gir Somnath,22.2 km seaward operational buffer,2026-09-12T19:30,1.14,225,11.05,0.78,201,12.75,0.6,146,27.4,12.0,294,0.0,True,No hazard
GJ-VER-0035,20.70309191,70.36971098,Gir Somnath,22.2 km seaward operational buffer,2026-09-12T19:30,1.18,228,10.85,0.8,215,11.65,0.8,135,27.7,23.3,294,0.0,True,No hazard
