node_id,latitude,longitude,district,zone_type,observation_time,wave_height_m,wave_direction_deg,wave_period_s,swell_wave_height_m,swell_wave_direction_deg,swell_wave_period_s,ocean_current_velocity_kmh,ocean_current_direction_deg,sst_celsius,wind_speed_kmph,wind_direction_deg,precipitation_mm,safe_to_venture,hazard_type
GJ-VER-0001,20.87516585,70.07678103,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.1,220,10.6,0.74,243,8.3,0.7,166,27.4,20.0,329,0.0,True,No hazard
GJ-VER-0002,20.92017704,70.07530903,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.04,222,10.25,0.68,190,11.8,0.7,180,27.3,20.1,323,0.0,True,No hazard
GJ-VER-0003,20.9651879,70.07383312,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.04,222,10.25,0.68,190,11.8,0.7,180,27.3,10.6,314,0.0,True,No hazard
GJ-VER-0004,21.01019843,70.0723533,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,0.88,226,9.85,0.62,242,6.15,0.6,198,27.3,10.6,314,0.0,True,No hazard
GJ-VER-0005,21.05520861,70.07086956,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,0.88,226,9.85,0.62,242,6.15,0.6,198,27.3,10.6,314,0.0,True,No hazard
GJ-VER-0006,21.10021846,70.06938189,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,0.74,230,9.3,0.52,242,6.2,0.4,207,27.3,9.1,324,0.0,True,No hazard
GJ-VER-0007,20.83152605,70.12612866,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.16,221,10.55,0.76,221,10.7,0.7,166,27.5,19.5,318,0.0,True,No hazard
GJ-VER-0008,20.87654082,70.12467471,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.1,221,10.55,0.74,221,10.0,0.5,180,27.3,19.5,318,0.0,True,No hazard
GJ-VER-0009,20.92155525,70.12321689,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.04,221,10.45,0.7,191,12.4,0.4,207,27.3,18.9,313,0.0,True,No hazard
GJ-VER-0010,20.96656935,70.1217552,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.04,221,10.45,0.7,191,12.4,0.4,207,27.3,10.6,314,0.0,True,No hazard
GJ-VER-0011,21.01158311,70.12028964,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,0.9,218,10.55,0.62,208,9.85,0.5,225,27.3,10.6,314,0.0,True,No hazard
GJ-VER-0012,21.05659653,70.11882019,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,0.9,218,10.55,0.62,208,9.85,0.5,225,27.3,10.6,314,0.0,True,No hazard
GJ-VER-0013,20.7878662,70.17544804,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.14,223,10.35,0.72,192,12.25,0.5,180,27.4,19.5,324,0.0,True,No hazard
GJ-VER-0014,20.8328845,70.17401206,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.14,223,10.35,0.72,192,12.25,0.5,180,27.4,19.5,318,0.0,True,No hazard
GJ-VER-0015,20.87790246,70.17257226,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.1,223,10.4,0.72,192,12.0,0.4,207,27.3,19.5,318,0.0,True,No hazard
GJ-VER-0016,20.9229201,70.17112863,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.04,222,10.5,0.7,193,12.25,0.5,225,27.2,10.0,324,0.0,True,No hazard
GJ-VER-0017,20.9679374,70.16968116,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.04,222,10.5,0.7,193,12.25,0.5,225,27.2,10.6,314,0.0,True,No hazard
GJ-VER-0018,21.01295437,70.16822986,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,0.9,218,10.55,0.62,208,9.85,0.4,243,27.4,10.6,314,0.0,True,No hazard
GJ-VER-0019,20.78920817,70.22332115,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.14,223,10.35,0.72,192,12.25,0.5,180,27.4,18.6,316,0.0,True,No hazard
GJ-VER-0020,20.83422964,70.22189929,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.1,223,10.4,0.72,192,12.0,0.4,207,27.3,17.3,312,0.0,True,No hazard
GJ-VER-0021,20.87925078,70.22047364,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.1,223,10.4,0.72,192,12.0,0.4,207,27.3,10.0,324,0.0,True,No hazard
GJ-VER-0022,20.92427159,70.2190442,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.04,222,10.5,0.7,193,12.25,0.5,225,27.2,10.0,324,0.0,True,No hazard
GJ-VER-0023,20.96929207,70.21761096,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.04,222,10.5,0.7,193,12.25,0.5,225,27.2,10.0,324,0.0,True,No hazard
GJ-VER-0024,20.74551194,70.27260204,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.14,224,10.2,0.72,193,12.85,0.6,162,27.6,18.6,316,0.0,True,No hazard
GJ-VER-0025,20.79053688,70.27119804,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.1,223,10.2,0.7,192,12.9,0.4,207,27.3,18.6,316,0.0,True,No hazard
GJ-VER-0026,20.83556148,70.2697903,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.06,223,10.3,0.68,192,12.85,0.5,225,27.2,9.8,324,0.0,True,No hazard
GJ-VER-0027,20.88058576,70.26837881,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.06,223,10.3,0.68,192,12.85,0.5,225,27.2,10.0,324,0.0,True,No hazard
GJ-VER-0028,20.92560971,70.26696356,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.06,223,10.3,0.68,192,12.85,0.4,243,27.2,10.0,324,0.0,True,No hazard
GJ-VER-0029,20.7017959,70.32185479,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.14,224,10.2,0.72,193,12.85,0.6,162,27.6,18.1,313,0.0,True,No hazard
GJ-VER-0030,20.74682427,70.32046858,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.14,224,10.2,0.72,193,12.85,0.6,162,27.6,16.8,308,0.0,True,No hazard
GJ-VER-0031,20.7918523,70.31907867,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.1,223,10.2,0.7,192,12.9,0.4,207,27.3,16.8,308,0.0,True,No hazard
GJ-VER-0032,20.83688002,70.31768506,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.06,223,10.3,0.68,192,12.85,0.5,225,27.2,9.8,324,0.0,True,No hazard
GJ-VER-0033,20.8819074,70.31628773,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.06,223,10.3,0.68,192,12.85,0.5,225,27.2,9.8,324,0.0,True,No hazard
GJ-VER-0034,20.92693447,70.31488669,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.06,223,10.3,0.68,192,12.85,0.4,243,27.2,10.0,324,0.0,True,No hazard
GJ-VER-0035,20.70309191,70.36971098,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.1,226,10.1,0.7,194,12.85,0.4,180,27.5,18.1,313,0.0,True,No hazard
GJ-VER-0036,20.74812334,70.36833883,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.1,226,10.1,0.7,194,12.85,0.4,180,27.5,16.8,308,0.0,True,No hazard
GJ-VER-0037,20.79315445,70.36696301,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.06,224,10.2,0.66,194,12.9,0.4,207,27.3,16.8,308,0.0,True,No hazard
GJ-VER-0038,20.83818524,70.36558353,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.02,224,10.25,0.64,194,12.3,0.4,243,27.2,9.8,324,0.0,True,No hazard
GJ-VER-0039,20.88321571,70.36420037,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.02,224,10.25,0.64,194,12.3,0.4,243,27.2,9.8,324,0.0,True,No hazard
GJ-VER-0040,20.65933989,70.4189253,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.1,227,10.0,0.7,194,12.8,0.6,162,27.7,18.5,319,0.0,True,No hazard
GJ-VER-0041,20.70437469,70.41757083,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.06,226,10.1,0.66,195,12.4,0.4,180,27.5,15.8,305,0.0,True,No hazard
GJ-VER-0042,20.74940916,70.41621274,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.1,226,10.1,0.7,194,12.85,0.4,180,27.5,9.4,320,0.0,True,No hazard
GJ-VER-0043,20.79444332,70.41485102,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.06,224,10.2,0.66,194,12.9,0.4,207,27.3,9.4,320,0.0,True,No hazard
GJ-VER-0044,20.83947715,70.41348568,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.02,224,10.25,0.64,194,12.3,0.4,243,27.2,9.8,324,0.0,True,No hazard
GJ-VER-0045,20.61556832,70.4681116,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.1,227,10.0,0.7,194,12.8,0.6,162,27.7,16.8,312,0.0,True,No hazard
GJ-VER-0046,20.66060644,70.46677474,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.1,227,10.0,0.7,194,12.8,0.6,162,27.7,16.8,312,0.0,True,No hazard
GJ-VER-0047,20.70564424,70.4654343,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.06,226,10.1,0.66,195,12.4,0.4,180,27.5,15.8,305,0.0,True,No hazard
GJ-VER-0048,20.75068172,70.46409028,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.02,224,10.25,0.64,195,12.5,0.3,225,27.3,9.4,320,0.0,True,No hazard
GJ-VER-0049,20.79571889,70.46274267,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.02,224,10.25,0.64,195,12.5,0.3,225,27.3,9.4,320,0.0,True,No hazard
GJ-VER-0050,20.84075574,70.46139146,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.02,224,10.25,0.64,195,12.5,0.4,243,27.1,9.4,320,0.0,True,No hazard
GJ-VER-0051,20.61681869,70.51595063,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.06,227,10.0,0.66,195,12.8,0.6,162,27.7,16.8,312,0.0,True,No hazard
GJ-VER-0052,20.66185978,70.51462777,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.06,227,10.0,0.66,195,12.8,0.6,162,27.7,16.8,312,0.0,True,No hazard
GJ-VER-0053,20.70690056,70.51330136,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.02,225,10.25,0.66,223,10.25,0.4,180,27.4,13.2,299,0.0,True,No hazard
GJ-VER-0054,20.75194103,70.51197141,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,0.92,224,10.35,0.62,204,10.4,0.4,207,27.3,9.4,320,0.0,True,No hazard
GJ-VER-0055,20.79698117,70.5106379,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,0.92,224,10.35,0.62,204,10.4,0.4,207,27.3,9.4,320,0.0,True,No hazard
GJ-VER-0056,20.61805589,70.5637932,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.06,227,10.0,0.66,195,12.8,0.6,162,27.7,15.1,305,0.0,True,No hazard
GJ-VER-0057,20.66309993,70.56248433,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.06,227,10.0,0.66,195,12.8,0.6,162,27.7,15.1,305,0.0,True,No hazard
GJ-VER-0058,20.70814365,70.56117196,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.02,225,10.25,0.66,223,10.25,0.4,180,27.4,13.2,299,0.0,True,No hazard
GJ-VER-0059,20.75318706,70.55985608,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,0.92,224,10.35,0.62,204,10.4,0.4,207,27.3,9.0,330,0.0,True,No hazard
GJ-VER-0060,20.57423265,70.61293066,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.1,228,9.9,0.68,195,12.7,0.6,162,27.8,16.3,313,0.0,True,No hazard
GJ-VER-0061,20.61927992,70.61163926,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.04,226,10.1,0.66,195,12.8,0.6,162,27.6,14.4,298,0.0,True,No hazard
GJ-VER-0062,20.66432687,70.6103444,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.04,226,10.1,0.66,195,12.8,0.6,162,27.6,11.9,297,0.0,True,No hazard
GJ-VER-0063,20.7093735,70.60904607,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,0.94,222,10.45,0.64,243,8.6,0.4,180,27.4,8.8,316,0.0,True,No hazard
GJ-VER-0064,20.75441983,70.60774428,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,0.78,224,10.45,0.56,241,6.7,0.4,207,27.2,9.0,330,0.0,True,No hazard
GJ-VER-0065,20.57544062,70.66076621,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.1,228,9.9,0.68,195,12.7,0.6,162,27.8,15.6,305,0.0,True,No hazard
GJ-VER-0066,20.62049076,70.65948879,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.04,226,10.1,0.66,195,12.8,0.6,162,27.6,14.4,298,0.0,True,No hazard
GJ-VER-0067,20.66554059,70.65820794,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.04,226,10.1,0.66,195,12.8,0.6,162,27.6,14.4,298,0.0,True,No hazard
GJ-VER-0068,20.71059011,70.65692366,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,0.94,222,10.45,0.64,243,8.6,0.4,180,27.4,8.8,316,0.0,True,No hazard
GJ-VER-0069,20.75563932,70.65563594,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,0.78,224,10.45,0.56,241,6.7,0.4,207,27.2,8.8,316,0.0,True,No hazard
GJ-VER-0070,20.53158213,70.70986525,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.08,229,9.85,0.66,196,12.65,0.6,162,27.8,16.0,315,0.0,True,No hazard
GJ-VER-0071,20.57663543,70.70860519,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.08,229,9.85,0.66,196,12.65,0.6,162,27.8,15.6,305,0.0,True,No hazard
GJ-VER-0072,20.62168842,70.70734174,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.04,224,10.2,0.66,195,12.8,0.6,162,27.5,12.9,295,0.0,True,No hazard
GJ-VER-0073,20.6667411,70.7060749,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,0.86,220,10.65,0.58,242,8.25,0.6,214,27.4,10.7,299,0.0,True,No hazard
GJ-VER-0074,20.71179348,70.70480468,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,0.86,220,10.65,0.58,242,8.25,0.6,214,27.4,8.8,316,0.0,True,No hazard
GJ-VER-0075,20.53276097,70.75769366,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.06,229,9.7,0.66,196,12.1,0.6,146,27.8,14.4,300,0.0,True,No hazard
GJ-VER-0076,20.57781709,70.75644754,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.06,229,9.7,0.66,196,12.1,0.6,146,27.8,14.4,300,0.0,True,No hazard
GJ-VER-0077,20.6228729,70.75519808,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.04,224,10.25,0.66,195,12.65,0.5,180,27.5,12.9,295,0.0,True,No hazard
GJ-VER-0078,20.66792839,70.75394526,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,0.82,220,10.8,0.56,242,9.0,0.8,243,27.5,8.8,316,0.0,True,No hazard
GJ-VER-0079,20.71298359,70.75268909,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,0.82,220,10.8,0.56,242,9.0,0.8,243,27.5,8.8,316,0.0,True,No hazard
GJ-VER-0080,20.53392669,70.80552542,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.06,229,9.7,0.66,196,12.1,0.6,146,27.8,15.2,311,0.0,True,No hazard
GJ-VER-0081,20.57898558,70.80429325,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.06,229,9.7,0.66,196,12.1,0.6,146,27.8,14.4,300,0.0,True,No hazard
GJ-VER-0082,20.62404418,70.80305777,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.04,224,10.25,0.66,195,12.65,0.5,180,27.5,8.9,298,0.0,True,No hazard
GJ-VER-0083,20.66910246,70.80181898,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,0.82,220,10.8,0.56,242,9.0,0.8,243,27.5,7.3,329,0.0,True,No hazard
GJ-VER-0084,20.53507927,70.85336048,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.06,229,9.6,0.72,203,9.7,0.6,146,27.7,11.1,301,0.0,True,No hazard
GJ-VER-0085,20.58014092,70.85214226,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.06,229,9.6,0.72,203,9.7,0.6,146,27.7,11.1,301,0.0,True,No hazard
GJ-VER-0086,20.62520226,70.85092077,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.04,223,10.3,0.68,196,12.2,0.6,198,27.5,8.9,298,0.0,True,No hazard
GJ-VER-0087,20.6702633,70.84969601,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,0.78,217,10.95,0.52,225,10.8,1.1,252,27.7,5.3,348,0.0,True,No hazard
GJ-VER-0088,20.53621871,70.9011988,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.06,229,9.6,0.72,203,9.7,0.6,146,27.7,13.3,312,0.0,True,No hazard
GJ-VER-0089,20.58128308,70.89999455,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.06,229,9.6,0.72,203,9.7,0.6,146,27.7,11.1,301,0.0,True,No hazard
GJ-VER-0090,20.62634715,70.89878705,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.04,223,10.3,0.68,196,12.2,0.6,198,27.5,5.2,297,0.0,True,No hazard
GJ-VER-0091,20.67141091,70.89757632,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,0.78,217,10.95,0.52,225,10.8,1.1,252,27.7,5.3,348,0.0,True,No hazard
GJ-VER-0092,20.53734501,70.94904036,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.04,230,9.55,0.82,244,6.0,0.6,162,27.7,7.8,302,0.0,True,No hazard
GJ-VER-0093,20.58241207,70.94785006,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.04,230,9.55,0.82,244,6.0,0.6,162,27.7,7.8,302,0.0,True,No hazard
GJ-VER-0094,20.62747883,70.94665657,Gir Somnath,22.2 km seaward operational buffer,2026-09-20T11:30,1.02,223,10.35,0.7,197,10.95,0.5,225,27.7,5.2,297,0.0,True,No hazard
