node_id,latitude,longitude,district,zone_type,observation_time,wave_height_m,wave_direction_deg,wave_period_s,swell_wave_height_m,swell_wave_direction_deg,swell_wave_period_s,ocean_current_velocity_kmh,ocean_current_direction_deg,sst_celsius,wind_speed_kmph,wind_direction_deg,precipitation_mm,safe_to_venture,hazard_type
GJ-VER-0001,20.87516585,70.07678103,Gir Somnath,22.2 km seaward operational buffer,2026-09-02T02:15,2.12,233,9.0,1.74,240,6.95,1.5,126,26.9,23.1,243,0.0,True,No hazard
GJ-VER-0002,20.92017704,70.07530903,Gir Somnath,22.2 km seaward operational buffer,2026-09-02T02:15,2.02,234,8.95,1.66,241,7.05,1.5,126,26.6,23.6,241,0.0,True,No hazard
GJ-VER-0003,20.9651879,70.07383312,Gir Somnath,22.2 km seaward operational buffer,2026-09-02T02:15,2.02,234,8.95,1.66,241,7.05,1.5,126,26.6,14.4,241,0.0,True,No hazard
GJ-VER-0004,21.01019843,70.0723533,Gir Somnath,22.2 km seaward operational buffer,2026-09-02T02:15,1.66,235,9.05,1.4,241,7.2,1.5,120,26.3,14.4,241,0.0,True,No hazard
GJ-VER-0005,21.05520861,70.07086956,Gir Somnath,22.2 km seaward operational buffer,2026-09-02T02:15,1.66,235,9.05,1.4,241,7.2,1.5,120,26.3,14.4,241,0.0,True,No hazard
GJ-VER-0006,21.10021846,70.06938189,Gir Somnath,22.2 km seaward operational buffer,2026-09-02T02:15,1.42,237,8.9,1.26,241,7.15,1.3,124,26.2,12.4,242,0.0,True,No hazard
GJ-VER-0007,20.83152605,70.12612866,Gir Somnath,22.2 km seaward operational buffer,2026-09-02T02:15,2.24,232,9.1,1.88,239,6.85,1.7,122,26.9,23.6,243,0.0,True,No hazard
GJ-VER-0008,20.87654082,70.12467471,Gir Somnath,22.2 km seaward operational buffer,2026-09-02T02:15,2.12,232,9.05,1.76,239,6.9,1.7,122,26.7,23.6,243,0.0,True,No hazard
GJ-VER-0009,20.92155525,70.12321689,Gir Somnath,22.2 km seaward operational buffer,2026-09-02T02:15,2.0,232,9.1,1.64,240,6.95,1.7,122,26.4,22.8,241,0.0,True,No hazard
GJ-VER-0010,20.96656935,70.1217552,Gir Somnath,22.2 km seaward operational buffer,2026-09-02T02:15,2.0,232,9.1,1.64,240,6.95,1.7,122,26.4,14.4,241,0.0,True,No hazard
