node_id,latitude,longitude,district,zone_type,observation_time,wave_height_m,wave_direction_deg,wave_period_s,swell_wave_height_m,swell_wave_direction_deg,swell_wave_period_s,ocean_current_velocity_kmh,ocean_current_direction_deg,sst_celsius,wind_speed_kmph,wind_direction_deg,precipitation_mm,safe_to_venture,hazard_type
GJ-VER-0001,20.87516585,70.07678103,Gir Somnath,22.2 km seaward operational buffer,2026-09-04T03:00,1.88,225,9.0,1.36,232,7.1,1.5,126,27.3,23.0,255,0.0,True,No hazard
GJ-VER-0002,20.92017704,70.07530903,Gir Somnath,22.2 km seaward operational buffer,2026-09-04T03:00,1.78,226,9.0,1.3,233,7.15,1.5,126,27.1,24.4,253,0.0,True,No hazard
GJ-VER-0003,20.9651879,70.07383312,Gir Somnath,22.2 km seaward operational buffer,2026-09-04T03:00,1.78,226,9.0,1.3,233,7.15,1.5,126,27.1,15.6,251,0.0,True,No hazard
GJ-VER-0004,21.01019843,70.0723533,Gir Somnath,22.2 km seaward operational buffer,2026-09-04T03:00,1.52,227,9.0,1.12,234,7.25,1.4,130,26.9,15.6,251,0.0,True,No hazard
GJ-VER-0005,21.05520861,70.07086956,Gir Somnath,22.2 km seaward operational buffer,2026-09-04T03:00,1.52,227,9.0,1.12,234,7.25,1.4,130,26.9,15.6,251,0.0,True,No hazard
GJ-VER-0006,21.10021846,70.06938189,Gir Somnath,22.2 km seaward operational buffer,2026-09-04T03:00,1.3,230,8.7,1.0,235,7.15,1.5,135,26.9,13.5,251,0.0,True,No hazard
GJ-VER-0007,20.83152605,70.12612866,Gir Somnath,22.2 km seaward operational buffer,2026-09-04T03:00,1.98,225,9.05,1.48,231,7.1,1.7,122,27.3,24.0,256,0.0,True,No hazard
GJ-VER-0008,20.87654082,70.12467471,Gir Somnath,22.2 km seaward operational buffer,2026-09-04T03:00,1.9,225,9.0,1.38,231,7.05,1.8,127,27.0,24.0,256,0.0,True,No hazard
GJ-VER-0009,20.92155525,70.12321689,Gir Somnath,22.2 km seaward operational buffer,2026-09-04T03:00,1.78,225,9.1,1.3,232,7.05,1.7,131,26.8,24.0,254,0.0,True,No hazard
GJ-VER-0010,20.96656935,70.1217552,Gir Somnath,22.2 km seaward operational buffer,2026-09-04T03:00,1.78,225,9.1,1.3,232,7.05,1.7,131,26.8,15.6,251,0.0,True,No hazard
GJ-VER-0011,21.01158311,70.12028964,Gir Somnath,22.2 km seaward operational buffer,2026-09-04T03:00,1.52,222,9.2,1.1,232,6.9,1.5,135,26.8,15.6,251,0.0,True,No hazard
GJ-VER-0012,21.05659653,70.11882019,Gir Somnath,22.2 km seaward operational buffer,2026-09-04T03:00,1.52,222,9.2,1.1,232,6.9,1.5,135,26.8,15.6,251,0.0,True,No hazard
GJ-VER-0013,20.7878662,70.17544804,Gir Somnath,22.2 km seaward operational buffer,2026-09-04T03:00,1.96,225,9.0,1.48,231,7.05,1.8,127,27.0,23.1,257,0.0,True,No hazard
GJ-VER-0014,20.8328845,70.17401206,Gir Somnath,22.2 km seaward operational buffer,2026-09-04T03:00,1.96,225,9.0,1.48,231,7.05,1.8,127,27.0,24.0,256,0.0,True,No hazard
GJ-VER-0015,20.87790246,70.17257226,Gir Somnath,22.2 km seaward operational buffer,2026-09-04T03:00,1.9,225,9.0,1.42,231,7.0,1.8,127,26.8,24.0,256,0.0,True,No hazard
GJ-VER-0016,20.9229201,70.17112863,Gir Somnath,22.2 km seaward operational buffer,2026-09-04T03:00,1.8,224,9.1,1.36,232,6.9,1.5,126,26.7,14.5,253,0.0,True,No hazard
GJ-VER-0017,20.9679374,70.16968116,Gir Somnath,22.2 km seaward operational buffer,2026-09-04T03:00,1.8,224,9.1,1.36,232,6.9,1.5,126,26.7,15.6,251,0.0,True,No hazard
GJ-VER-0018,21.01295437,70.16822986,Gir Somnath,22.2 km seaward operational buffer,2026-09-04T03:00,1.52,222,9.2,1.1,232,6.9,1.3,135,26.9,15.6,251,0.0,True,No hazard
GJ-VER-0019,20.78920817,70.22332115,Gir Somnath,22.2 km seaward operational buffer,2026-09-04T03:00,1.96,225,9.0,1.48,231,7.05,1.8,127,27.0,24.5,258,0.0,True,No hazard
GJ-VER-0020,20.83422964,70.22189929,Gir Somnath,22.2 km seaward operational buffer,2026-09-04T03:00,1.9,225,9.0,1.42,231,7.0,1.8,127,26.8,24.3,258,0.0,True,No hazard
