node_id,latitude,longitude,district,zone_type,observation_time,wave_height_m,wave_direction_deg,wave_period_s,swell_wave_height_m,swell_wave_direction_deg,swell_wave_period_s,ocean_current_velocity_kmh,ocean_current_direction_deg,sst_celsius,wind_speed_kmph,wind_direction_deg,precipitation_mm,safe_to_venture,hazard_type
GJ-VER-0001,20.87516585,70.07678103,Gir Somnath,22.2 km seaward operational buffer,2026-09-24T15:15,1.1,252,6.75,0.56,185,9.15,1.2,153,27.8,27.9,296,0.0,True,No hazard
GJ-VER-0002,20.92017704,70.07530903,Gir Somnath,22.2 km seaward operational buffer,2026-09-24T15:15,1.04,251,6.7,0.52,185,9.3,1.1,162,27.6,28.3,295,0.0,True,No hazard
GJ-VER-0003,20.9651879,70.07383312,Gir Somnath,22.2 km seaward operational buffer,2026-09-24T15:15,1.04,251,6.7,0.52,185,9.3,1.1,162,27.6,22.2,291,0.0,True,No hazard
GJ-VER-0004,21.01019843,70.0723533,Gir Somnath,22.2 km seaward operational buffer,2026-09-24T15:15,0.9,254,6.45,0.44,185,9.6,1.0,158,27.4,22.2,291,0.0,True,No hazard
GJ-VER-0005,21.05520861,70.07086956,Gir Somnath,22.2 km seaward operational buffer,2026-09-24T15:15,0.9,254,6.45,0.44,185,9.6,1.0,158,27.4,22.2,291,0.0,True,No hazard
GJ-VER-0006,21.10021846,70.06938189,Gir Somnath,22.2 km seaward operational buffer,2026-09-24T15:15,0.78,258,6.0,0.36,188,9.8,0.8,153,27.3,20.4,289,0.0,True,No hazard
GJ-VER-0007,20.83152605,70.12612866,Gir Somnath,22.2 km seaward operational buffer,2026-09-24T15:15,1.14,251,6.85,0.58,186,9.05,1.2,153,27.9,29.4,297,0.0,True,No hazard
GJ-VER-0008,20.87654082,70.12467471,Gir Somnath,22.2 km seaward operational buffer,2026-09-24T15:15,1.12,251,6.75,0.56,186,9.15,1.1,162,27.7,29.4,297,0.0,True,No hazard
GJ-VER-0009,20.92155525,70.12321689,Gir Somnath,22.2 km seaward operational buffer,2026-09-24T15:15,1.04,250,6.75,0.52,186,9.2,1.0,158,27.5,28.9,295,0.0,True,No hazard
GJ-VER-0010,20.96656935,70.1217552,Gir Somnath,22.2 km seaward operational buffer,2026-09-24T15:15,1.04,250,6.75,0.52,186,9.2,1.0,158,27.5,22.2,291,0.0,True,No hazard
GJ-VER-0011,21.01158311,70.12028964,Gir Somnath,22.2 km seaward operational buffer,2026-09-24T15:15,0.9,247,6.75,0.48,191,9.1,0.7,166,27.3,22.2,291,0.0,True,No hazard
GJ-VER-0012,21.05659653,70.11882019,Gir Somnath,22.2 km seaward operational buffer,2026-09-24T15:15,0.9,247,6.75,0.48,191,9.1,0.7,166,27.3,22.2,291,0.0,True,No hazard
GJ-VER-0013,20.7878662,70.17544804,Gir Somnath,22.2 km seaward operational buffer,2026-09-24T15:15,1.14,251,6.7,0.56,187,9.0,1.2,153,27.8,28.5,296,0.0,True,No hazard
GJ-VER-0014,20.8328845,70.17401206,Gir Somnath,22.2 km seaward operational buffer,2026-09-24T15:15,1.14,251,6.7,0.56,187,9.0,1.2,153,27.8,29.4,297,0.0,True,No hazard
GJ-VER-0015,20.87790246,70.17257226,Gir Somnath,22.2 km seaward operational buffer,2026-09-24T15:15,1.12,251,6.7,0.56,187,9.1,1.0,158,27.7,29.4,297,0.0,True,No hazard
GJ-VER-0016,20.9229201,70.17112863,Gir Somnath,22.2 km seaward operational buffer,2026-09-24T15:15,1.04,247,6.8,0.54,187,9.1,0.6,162,27.5,21.1,289,0.0,True,No hazard
GJ-VER-0017,20.9679374,70.16968116,Gir Somnath,22.2 km seaward operational buffer,2026-09-24T15:15,1.04,247,6.8,0.54,187,9.1,0.6,162,27.5,22.2,291,0.0,True,No hazard
GJ-VER-0018,21.01295437,70.16822986,Gir Somnath,22.2 km seaward operational buffer,2026-09-24T15:15,0.9,247,6.75,0.48,191,9.1,0.4,207,27.6,22.2,291,0.0,True,No hazard
GJ-VER-0019,20.78920817,70.22332115,Gir Somnath,22.2 km seaward operational buffer,2026-09-24T15:15,1.14,251,6.7,0.56,187,9.0,1.2,153,27.8,30.2,295,0.0,True,No hazard
GJ-VER-0020,20.83422964,70.22189929,Gir Somnath,22.2 km seaward operational buffer,2026-09-24T15:15,1.12,251,6.7,0.56,187,9.1,1.0,158,27.7,30.3,295,0.0,True,No hazard
GJ-VER-0021,20.87925078,70.22047364,Gir Somnath,22.2 km seaward operational buffer,2026-09-24T15:15,1.12,251,6.7,0.56,187,9.1,1.0,158,27.7,21.1,289,0.0,True,No hazard
GJ-VER-0022,20.92427159,70.2190442,Gir Somnath,22.2 km seaward operational buffer,2026-09-24T15:15,1.04,247,6.8,0.54,187,9.1,0.6,162,27.5,21.1,289,0.0,True,No hazard
GJ-VER-0023,20.96929207,70.21761096,Gir Somnath,22.2 km seaward operational buffer,2026-09-24T15:15,1.04,247,6.8,0.54,187,9.1,0.6,162,27.5,21.1,289,0.0,True,No hazard
GJ-VER-0024,20.74551194,70.27260204,Gir Somnath,22.2 km seaward operational buffer,2026-09-24T15:15,1.14,253,6.6,0.56,187,9.05,1.0,158,27.9,30.2,295,0.0,True,No hazard
GJ-VER-0025,20.79053688,70.27119804,Gir Somnath,22.2 km seaward operational buffer,2026-09-24T15:15,1.12,251,6.6,0.56,187,9.1,1.0,158,27.7,30.2,295,0.0,True,No hazard
GJ-VER-0026,20.83556148,70.2697903,Gir Somnath,22.2 km seaward operational buffer,2026-09-24T15:15,1.08,251,6.65,0.54,187,9.15,0.6,162,27.6,20.3,287,0.0,True,No hazard
GJ-VER-0027,20.88058576,70.26837881,Gir Somnath,22.2 km seaward operational buffer,2026-09-24T15:15,1.08,251,6.65,0.54,187,9.15,0.6,162,27.6,21.1,289,0.0,True,No hazard
