node_id,latitude,longitude,district,zone_type,observation_time,wave_height_m,wave_direction_deg,wave_period_s,swell_wave_height_m,swell_wave_direction_deg,swell_wave_period_s,ocean_current_velocity_kmh,ocean_current_direction_deg,sst_celsius,wind_speed_kmph,wind_direction_deg,precipitation_mm,safe_to_venture,hazard_type
GJ-VER-0001,20.87516585,70.07678103,Gir Somnath,22.2 km seaward operational buffer,2026-09-10T10:00,1.38,249,7.15,1.26,257,5.35,2.2,132,27.6,19.3,286,0.0,True,No hazard
GJ-VER-0002,20.92017704,70.07530903,Gir Somnath,22.2 km seaward operational buffer,2026-09-10T10:00,1.32,249,7.15,1.22,256,5.4,2.3,135,27.2,18.2,284,0.0,True,No hazard
GJ-VER-0003,20.9651879,70.07383312,Gir Somnath,22.2 km seaward operational buffer,2026-09-10T10:00,1.32,249,7.15,1.22,256,5.4,2.3,135,27.2,14.8,275,0.0,True,No hazard
GJ-VER-0004,21.01019843,70.0723533,Gir Somnath,22.2 km seaward operational buffer,2026-09-10T10:00,1.12,247,7.2,1.04,254,5.45,2.3,135,26.9,14.8,275,0.0,True,No hazard
GJ-VER-0005,21.05520861,70.07086956,Gir Somnath,22.2 km seaward operational buffer,2026-09-10T10:00,1.12,247,7.2,1.04,254,5.45,2.3,135,26.9,14.8,275,0.0,True,No hazard
GJ-VER-0006,21.10021846,70.06938189,Gir Somnath,22.2 km seaward operational buffer,2026-09-10T10:00,0.96,248,7.1,0.9,253,5.45,1.9,139,26.6,13.5,268,0.0,True,No hazard
GJ-VER-0007,20.83152605,70.12612866,Gir Somnath,22.2 km seaward operational buffer,2026-09-10T10:00,1.46,247,7.25,1.32,255,5.45,2.3,129,27.6,19.7,286,0.0,True,No hazard
GJ-VER-0008,20.87654082,70.12467471,Gir Somnath,22.2 km seaward operational buffer,2026-09-10T10:00,1.38,247,7.25,1.26,255,5.4,2.4,132,27.2,19.7,286,0.0,True,No hazard
GJ-VER-0009,20.92155525,70.12321689,Gir Somnath,22.2 km seaward operational buffer,2026-09-10T10:00,1.3,246,7.3,1.18,254,5.4,2.5,135,26.8,19.2,285,0.0,True,No hazard
GJ-VER-0010,20.96656935,70.1217552,Gir Somnath,22.2 km seaward operational buffer,2026-09-10T10:00,1.3,246,7.3,1.18,254,5.4,2.5,135,26.8,14.8,275,0.0,True,No hazard
GJ-VER-0011,21.01158311,70.12028964,Gir Somnath,22.2 km seaward operational buffer,2026-09-10T10:00,1.04,241,7.4,0.96,250,5.35,2.2,138,26.5,14.8,275,0.0,True,No hazard
GJ-VER-0012,21.05659653,70.11882019,Gir Somnath,22.2 km seaward operational buffer,2026-09-10T10:00,1.04,241,7.4,0.96,250,5.35,2.2,138,26.5,14.8,275,0.0,True,No hazard
