node_id,latitude,longitude,district,zone_type,observation_time,wave_height_m,wave_direction_deg,wave_period_s,swell_wave_height_m,swell_wave_direction_deg,swell_wave_period_s,ocean_current_velocity_kmh,ocean_current_direction_deg,sst_celsius,wind_speed_kmph,wind_direction_deg,precipitation_mm,safe_to_venture,hazard_type
GJ-VER-0001,20.87516585,70.07678103,Gir Somnath,22.2 km seaward operational buffer,2026-09-13T03:30,1.24,227,10.1,0.82,194,13.3,1.0,149,27.9,21.1,285,0.2,True,No hazard
GJ-VER-0002,20.92017704,70.07530903,Gir Somnath,22.2 km seaward operational buffer,2026-09-13T03:30,1.16,229,9.75,0.76,192,13.2,1.3,146,27.7,21.3,286,0.2,True,No hazard
GJ-VER-0003,20.9651879,70.07383312,Gir Somnath,22.2 km seaward operational buffer,2026-09-13T03:30,1.16,229,9.75,0.76,192,13.2,1.3,146,27.7,12.7,288,0.7,True,No hazard
GJ-VER-0004,21.01019843,70.0723533,Gir Somnath,22.2 km seaward operational buffer,2026-09-13T03:30,1.0,233,9.35,0.62,203,12.15,1.3,146,27.4,12.7,288,0.7,True,No hazard
GJ-VER-0005,21.05520861,70.07086956,Gir Somnath,22.2 km seaward operational buffer,2026-09-13T03:30,1.0,233,9.35,0.62,203,12.15,1.3,146,27.4,12.7,288,0.7,True,No hazard
GJ-VER-0006,21.10021846,70.06938189,Gir Somnath,22.2 km seaward operational buffer,2026-09-13T03:30,0.84,237,8.85,0.52,218,10.25,1.2,153,27.2,11.9,280,0.7,True,No hazard
GJ-VER-0007,20.83152605,70.12612866,Gir Somnath,22.2 km seaward operational buffer,2026-09-13T03:30,1.3,227,10.35,0.88,195,13.35,1.0,149,27.9,22.0,287,0.0,True,No hazard
GJ-VER-0008,20.87654082,70.12467471,Gir Somnath,22.2 km seaward operational buffer,2026-09-13T03:30,1.24,227,10.35,0.84,195,13.3,1.3,146,27.6,22.0,287,0.0,True,No hazard
GJ-VER-0009,20.92155525,70.12321689,Gir Somnath,22.2 km seaward operational buffer,2026-09-13T03:30,1.16,227,10.2,0.78,193,13.55,1.5,150,27.3,21.6,288,0.1,True,No hazard
GJ-VER-0010,20.96656935,70.1217552,Gir Somnath,22.2 km seaward operational buffer,2026-09-13T03:30,1.16,227,10.2,0.78,193,13.55,1.5,150,27.3,12.7,288,0.7,True,No hazard
GJ-VER-0011,21.01158311,70.12028964,Gir Somnath,22.2 km seaward operational buffer,2026-09-13T03:30,1.0,225,10.25,0.68,193,13.4,1.2,153,27.0,12.7,288,0.7,True,No hazard
GJ-VER-0012,21.05659653,70.11882019,Gir Somnath,22.2 km seaward operational buffer,2026-09-13T03:30,1.0,225,10.25,0.68,193,13.4,1.2,153,27.0,12.7,288,0.7,True,No hazard
GJ-VER-0013,20.7878662,70.17544804,Gir Somnath,22.2 km seaward operational buffer,2026-09-13T03:30,1.28,227,10.3,0.86,196,13.45,1.3,146,27.7,21.8,288,0.0,True,No hazard
GJ-VER-0014,20.8328845,70.17401206,Gir Somnath,22.2 km seaward operational buffer,2026-09-13T03:30,1.28,227,10.3,0.86,196,13.45,1.3,146,27.7,22.0,287,0.0,True,No hazard
GJ-VER-0015,20.87790246,70.17257226,Gir Somnath,22.2 km seaward operational buffer,2026-09-13T03:30,1.22,227,10.4,0.82,196,13.4,1.3,146,27.4,22.0,287,0.0,True,No hazard
GJ-VER-0016,20.9229201,70.17112863,Gir Somnath,22.2 km seaward operational buffer,2026-09-13T03:30,1.16,226,10.45,0.8,195,13.5,1.2,153,27.3,12.8,292,0.4,True,No hazard
GJ-VER-0017,20.9679374,70.16968116,Gir Somnath,22.2 km seaward operational buffer,2026-09-13T03:30,1.16,226,10.45,0.8,195,13.5,1.2,153,27.3,12.7,288,0.7,True,No hazard
GJ-VER-0018,21.01295437,70.16822986,Gir Somnath,22.2 km seaward operational buffer,2026-09-13T03:30,1.0,225,10.25,0.68,193,13.4,0.7,166,27.2,12.7,288,0.7,True,No hazard
GJ-VER-0019,20.78920817,70.22332115,Gir Somnath,22.2 km seaward operational buffer,2026-09-13T03:30,1.28,227,10.3,0.86,196,13.45,1.3,146,27.7,23.3,288,0.1,True,No hazard
GJ-VER-0020,20.83422964,70.22189929,Gir Somnath,22.2 km seaward operational buffer,2026-09-13T03:30,1.22,227,10.4,0.82,196,13.4,1.3,146,27.4,22.6,289,0.1,True,No hazard
GJ-VER-0021,20.87925078,70.22047364,Gir Somnath,22.2 km seaward operational buffer,2026-09-13T03:30,1.22,227,10.4,0.82,196,13.4,1.3,146,27.4,12.8,292,0.4,True,No hazard
GJ-VER-0022,20.92427159,70.2190442,Gir Somnath,22.2 km seaward operational buffer,2026-09-13T03:30,1.16,226,10.45,0.8,195,13.5,1.2,153,27.3,12.8,292,0.4,True,No hazard
GJ-VER-0023,20.96929207,70.21761096,Gir Somnath,22.2 km seaward operational buffer,2026-09-13T03:30,1.16,226,10.45,0.8,195,13.5,1.2,153,27.3,12.8,292,0.4,True,No hazard
GJ-VER-0024,20.74551194,70.27260204,Gir Somnath,22.2 km seaward operational buffer,2026-09-13T03:30,1.3,229,10.1,0.84,196,13.45,1.3,146,27.8,23.3,288,0.1,True,No hazard
GJ-VER-0025,20.79053688,70.27119804,Gir Somnath,22.2 km seaward operational buffer,2026-09-13T03:30,1.24,227,10.25,0.84,196,13.55,1.5,150,27.5,23.3,288,0.1,True,No hazard
GJ-VER-0026,20.83556148,70.2697903,Gir Somnath,22.2 km seaward operational buffer,2026-09-13T03:30,1.2,227,10.4,0.82,196,13.5,1.4,157,27.3,13.6,290,0.8,True,No hazard
GJ-VER-0027,20.88058576,70.26837881,Gir Somnath,22.2 km seaward operational buffer,2026-09-13T03:30,1.2,227,10.4,0.82,196,13.5,1.4,157,27.3,12.8,292,0.4,True,No hazard
GJ-VER-0028,20.92560971,70.26696356,Gir Somnath,22.2 km seaward operational buffer,2026-09-13T03:30,1.2,227,10.4,0.82,196,13.5,0.9,169,27.0,12.8,292,0.4,True,No hazard
GJ-VER-0029,20.7017959,70.32185479,Gir Somnath,22.2 km seaward operational buffer,2026-09-13T03:30,1.3,229,10.1,0.84,196,13.45,1.3,146,27.8,23.0,289,0.2,True,No hazard
GJ-VER-0030,20.74682427,70.32046858,Gir Somnath,22.2 km seaward operational buffer,2026-09-13T03:30,1.3,229,10.1,0.84,196,13.45,1.3,146,27.8,23.1,288,0.3,True,No hazard
GJ-VER-0031,20.7918523,70.31907867,Gir Somnath,22.2 km seaward operational buffer,2026-09-13T03:30,1.24,227,10.25,0.84,196,13.55,1.5,150,27.5,23.1,288,0.3,True,No hazard
GJ-VER-0032,20.83688002,70.31768506,Gir Somnath,22.2 km seaward operational buffer,2026-09-13T03:30,1.2,227,10.4,0.82,196,13.5,1.4,157,27.3,13.6,290,0.8,True,No hazard
GJ-VER-0033,20.8819074,70.31628773,Gir Somnath,22.2 km seaward operational buffer,2026-09-13T03:30,1.2,227,10.4,0.82,196,13.5,1.4,157,27.3,13.6,290,0.8,True,No hazard
GJ-VER-0034,20.92693447,70.31488669,Gir Somnath,22.2 km seaward operational buffer,2026-09-13T03:30,1.2,227,10.4,0.82,196,13.5,0.9,169,27.0,12.8,292,0.4,True,No hazard
GJ-VER-0035,20.70309191,70.36971098,Gir Somnath,22.2 km seaward operational buffer,2026-09-13T03:30,1.26,230,10.05,0.82,197,13.5,1.4,140,27.5,23.0,289,0.2,True,No hazard
